,Dynamische Einflussfaktoren,,,,,,,
IoT-HW-ID:,Zeitstempel (DD-MM-YY HH:MM):,Raum betreten:,Personen imRaum:,Fenster geöffnet:,Tür geöffnet:,Heizung an:,Fernseher an:,PC an:
a13d7,17-12-18 09:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,17-12-18 09:35,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,17-12-18 09:45,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,17-12-18 10:00,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,17-12-18 22:50,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,18-12-18 02:30,JA,2,Nein,JA,Nein,Nein,Nein
a13d7,18-12-18 09:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,18-12-18 15:50,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,18-12-18 16:07,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,18-12-18 16:16,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,18-12-18 22:00,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,19-12-18 02:06,JA,2,JA,JA,Nein,Nein,Nein
a13d7,19-12-18 02:10,Nein,2,Nein,Nein,JA,Nein,Nein
a13d7,19-12-18 08:30,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,19-12-18 15:15,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,19-12-18 15:23,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,19-12-18 15:43,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,19-12-18 23:57,JA,1,Nein,JA,Nein,Nein,Nein
a13d7,20-12-18 02:37,JA,2,Nein,JA,JA,Nein,Nein
a13d7,20-12-18 09:00,Nein,1,Nein,JA,JA,Nein,Nein
a13d7,20-12-18 14:05,Nein,0,Nein,Nein,JA,Nein,Nein
a13d7,20-12-18 14:45,JA,1,JA,Nein,Nein,Nein,Nein
a13d7,20-12-18 14:55,Nein,0,Nein,JA,JA,Nein,Nein
a13d7,23-12-18 01:30,JA,1,Nein,Nein,JA,Nein,Nein
a13d7,23-12-18 04:30,JA,2,Nein,Nein,JA,Nein,Nein
a13d7,23-12-18 08:30,Nein,1,Nein,JA,JA,Nein,Nein
